, 11:  time = 433.8703
Added Ground at 38, 0:  time = 657.1553
Added Ground at 39, 0:  time = 657.1553
Added Ground at 40, 0:  time = 657.1553
Added Ground at 41, 0:  time = 657.1553
Added Ground at 42, 0:  time = 657.1553
Added Ground at 43, 0:  time = 657.1553
Added Ground at 44, 0:  time = 657.1553
Added Ground at 45, 0:  time = 657.1553
Added Ground at 46, 0:  time = 657.1553
Added Ground at 47, 0:  time = 657.1553
Added Ground at 49, 0:  time = 657.1553
Added Ground at 66, 0:  time = 657.1553
Added Ground at 65, 0:  time = 657.1553
Added Ground at 64, 0:  time = 657.1553
Added Ground at 67, 0:  time = 657.1553
Added Ground at 77, 0:  time = 657.1553
Added Ground at 79, 0:  time = 657.1553
Added Question at 84, 13:  time = 657.1553
Added Coin at 85, 11:  time = 657.1553
Added Coin at 86, 11:  time = 657.1553
Added Coin at 87, 11:  time = 657.1553
Added Coin at 87, 10:  time = 657.1553
Added Coin at 88, 13:  time = 657.1553
Added Coin at 89, 13:  time = 657.1553
Added Coin at 90, 13:  time = 657.1553
Added Coin at 91, 12:  time = 657.1553
Added Coin at 91, 13:  time = 657.1553
Added Coin at 94, 12:  time = 657.1553
Added Coin at 96, 11:  time = 657.1553
Added Block at 12, 13:  time = 657.1553
Added Block at 13, 13:  time = 657.1553
Added Block at 14, 13:  time = 657.1553
Added Stair at 43, 4:  time = 657.1553
Added Stair at 44, 4:  time = 657.1553
Added Stair at 44, 5:  time = 657.1553
Added Stair at 45, 3:  time = 657.1553
Added Stair at 45, 4:  time = 657.1553
Added Stair at 45, 5:  time = 657.1553
Added Stair at 46, 4:  time = 657.1553
Added Stair at 46, 5:  time = 657.1553
Added Block at 51, 13:  time = 657.1553
Added Block at 52, 13:  time = 657.1553
Added Block at 53, 13:  time = 657.1553
Added Block at 54, 13:  time = 657.1553
Added Block at 55, 13:  time = 657.1553
Added Block at 56, 13:  time = 657.1553
Added Block at 57, 13:  time = 657.1553
Added Block at 58, 13:  time = 657.1553
Added Block at 59, 13:  time = 657.1553
Added Block at 60, 13:  time = 657.1553
Added Stair at 44, 4:  time = 660.5593
Added Stair at 44, 4:  time = 660.5593
Added Stair at 44, 4:  time = 660.5593
Added Stair at 44, 4:  time = 660.5593
Added Stair at 43, 4:  time = 660.8592
Added Stair at 43, 4:  time = 660.8592
